Altium Designer Pick and Place Locations
C:\Users\Ocanath\Google Drive\Projects\PCB\Altium\Projects\mag-encoder-uart\Project Outputs for mag-encoder-uart\Pick Place for panel.csv

========================================================================================================================
File Design Information:

Date:       23/07/20
Time:       20:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C6","-22.4220","-25.0120","TopLayer","180"
"C7","-31.7050","-16.2490","TopLayer","360"
"C8","-22.9000","-22.1000","BottomLayer","180"
"J3","-21.5000","-17.0000","TopLayer","315"
"U2","-27.0000","-20.7000","BottomLayer","270"
"U1","-27.0000","-20.7000","TopLayer","0"
"R1","-20.1000","-20.2000","TopLayer","360"
"LED1","-21.4000","-21.0499","TopLayer","270"
"J2","-27.0000","-12.7500","TopLayer","180"
"C1","3.6000","-20.4000","TopLayer","90"
"C2","11.6000","-26.0000","TopLayer","180"
"C3","2.7000","-21.6000","TopLayer","90"
"C4","6.5000","-15.5000","TopLayer","0"
"C5","12.9000","-20.9000","BottomLayer","360"
"C6","13.5780","-25.0120","TopLayer","180"
"C7","4.2950","-16.2490","TopLayer","360"
"C8","13.1000","-22.1000","BottomLayer","180"
"J3","14.5000","-17.0000","TopLayer","315"
"U2","9.0000","-20.7000","BottomLayer","270"
"U1","9.0000","-20.7000","TopLayer","0"
"R1","15.9000","-20.2000","TopLayer","360"
"LED1","14.6000","-21.0499","TopLayer","270"
"J2","9.0000","-12.7500","TopLayer","180"
